C	Acid Spray
C	Acrobatics
C	Aerial Ace
C	Aeroblast
C	Aeroblast Plus
C	Aeroblast Plus Plus
C	Air Cutter
C	Ancient Power
C	Aqua Jet
C	Aqua Step
C	Aqua Tail
C	Aura Sphere
C	Aurora Beam
C	Avalanche
C	Beak Blast
C	Behemoth Bash
C	Behemoth Blade
C	Blast Burn
C	Blaze Kick
C	Bleakwind Storm
C	Blizzard
C	Body Slam
C	Bone Club
C	Boomburst
C	Brave Bird
C	Breaking Swipe
C	Brick Break
C	Brine
C	Brutal Swing
C	Bubble Beam
C	Bug Buzz
C	Bulldoze
C	Chilling Water
C	Clanging Scales
C	Close Combat
C	Crabhammer
C	Cross Chop
C	Cross Poison
C	Crunch
C	Crush Claw
C	Crush Grip
C	Dark Pulse
C	Darkest Lariat
C	Dazzling Gleam
C	Dig
C	Disarming Voice
C	Discharge
C	Doom Desire
C	Double Iron Bash
C	Draco Meteor
C	Dragon Ascent
C	Dragon Claw
C	Dragon Energy
C	Dragon Pulse
C	Drain Punch
C	Draining Kiss
C	Drill Peck
C	Drill Run
C	Drum Beating
C	Dynamic Punch
C	Earth Power
C	Earthquake
C	Energy Ball
C	Feather Dance
C	Fell Stinger
C	Fire Blast
C	Fire Punch
C	Fissure
C	Flame Burst
C	Flame Charge
C	Flame Wheel
C	Flamethrower
C	Flash Cannon
C	Flower Trick
C	Fly
C	Flying Press
C	Focus Blast
C	Foul Play
C	Freeze Shock
C	Frenzy Plant
C	Frustration
C	Fusion Bolt
C	Fusion Flare
C	Futuresight
C	Giga Drain
C	Giga Impact
C	Gigaton Hammer
C	Glaciate
C	Grass Knot
C	Gunk Shot
C	Gyro Ball
C	Heart Stamp
C	Heat Wave
C	Heavy Slam
C	High Horsepower
C	High Jump Kick
C	Horn Attack
C	Horn Drill
C	Hurricane
C	Hydro Cannon
C	Hydro Pump
C	Hydro Pump Blastoise
C	Hyper Beam
C	Hyper Fang
C	Ice Beam
C	Ice Burn
C	Ice Punch
C	Icicle Spear
C	Icy Wind
C	Iron Head
C	Last Resort
C	Leaf Blade
C	Leaf Storm
C	Leaf Tornado
C	Leech Life
C	Liquidation
C	Low Sweep
C	Lunge
C	Luster Purge
C	Magma Storm
C	Magnet Bomb
C	Mega Drain
C	Megahorn
C	Meteor Beam
C	Meteor Mash
C	Mind Blown
C	Mirror Coat
C	Mirror Shot
C	Mist Ball
C	Moonblast
C	Moongeist Beam
C	Mud Bomb
C	Muddy Water
C	Mystical Fire
C	Natures Madness
C	Night Shade
C	Night Slash
C	Oblivion Wing
C	Obstruct
C	Octazooka
C	Ominous Wind
C	Origin Pulse
C	Outrage
C	Overheat
C	Parabolic Charge
C	Payback
